attack_severity,method,median_sec,q1_sec,q3_sec
0.25,cpsat,218.014,213.671,234.197
0.25,easy,218.0141249891567,213.67181530176092,234.19663280000896
0.25,heft,218.0141249891567,213.67181530176092,234.19663280000896
0.25,replica,0.039,0.036,0.039
0.5,cpsat,218.014,213.671,234.197
0.5,easy,218.0141249891567,213.67181530176092,234.19663280000896
0.5,heft,218.0141249891567,213.67181530176092,234.19663280000896
0.5,replica,0.039,0.036,0.039
0.75,cpsat,218.014,213.671,234.197
0.75,easy,218.0141249891567,213.67181530176092,234.19663280000896
0.75,heft,218.0141249891567,213.67181530176092,234.19663280000896
0.75,replica,0.039,0.036,0.039
1.0,cpsat,218.014,213.671,234.197
1.0,easy,218.0141249891567,213.67181530176092,234.19663280000896
1.0,heft,218.0141249891567,213.67181530176092,234.19663280000896
1.0,replica,0.039,0.036,0.039
