service,attack_severity,method,median_sec,q1_sec,q3_sec
detection,0.25,cpsat,218.014,213.671,234.197
detection,0.25,easy,218.0141249891567,213.67181530176092,234.19663280000896
detection,0.25,heft,218.0141249891567,213.67181530176092,234.19663280000896
detection,0.25,replica,0.039,0.036,0.039
detection,0.5,cpsat,218.014,213.671,234.197
detection,0.5,easy,218.0141249891567,213.67181530176092,234.19663280000896
detection,0.5,heft,218.0141249891567,213.67181530176092,234.19663280000896
detection,0.5,replica,0.039,0.036,0.039
detection,0.75,cpsat,218.014,213.671,234.197
detection,0.75,easy,218.0141249891567,213.67181530176092,234.19663280000896
detection,0.75,heft,218.0141249891567,213.67181530176092,234.19663280000896
detection,0.75,replica,0.039,0.036,0.039
detection,1.0,cpsat,218.014,213.671,234.197
detection,1.0,easy,218.0141249891567,213.67181530176092,234.19663280000896
detection,1.0,heft,218.0141249891567,213.67181530176092,234.19663280000896
detection,1.0,replica,0.039,0.036,0.039
hvac,0.25,cpsat,75.091,72.512,88.365
hvac,0.25,easy,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.25,heft,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.25,replica,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.5,cpsat,75.091,72.512,88.365
hvac,0.5,easy,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.5,heft,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.5,replica,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.75,cpsat,75.091,72.512,88.365
hvac,0.75,easy,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.75,heft,75.09006520973344,72.5126679560235,88.36449223425734
hvac,0.75,replica,0.563,0.492,0.563
hvac,1.0,cpsat,75.091,72.512,88.365
hvac,1.0,easy,75.09006520973344,72.5126679560235,88.36449223425734
hvac,1.0,heft,75.09006520973344,72.5126679560235,88.36449223425734
hvac,1.0,replica,0.563,0.492,0.563
