rho,method,median_sec,q1_sec,q3_sec
0.333,cpsat,88.878,84.35374999999999,154.236
0.333,easy,88.87831155468484,84.35459183268722,154.23603200059824
0.333,heft,88.87831155468484,84.35459183268722,154.23603200059824
0.333,replica,0.563,0.54525,0.8
0.4,cpsat,81.9135,74.36375,88.65925
0.4,easy,81.91377137702875,74.36377928949969,88.65885251281361
0.4,heft,81.91377137702875,74.36377928949969,88.65885251281361
0.4,replica,0.563,0.563,0.8
0.6,cpsat,74.414,72.5175,87.66975
0.6,easy,74.41402909021235,72.51806076002231,87.67023426555261
0.6,heft,74.41402909021235,72.51806076002231,87.67023426555261
0.6,replica,0.5275,0.492,0.563
0.8,cpsat,72.17949999999999,71.83,76.134
0.8,easy,72.1801486375989,71.83034186999066,76.1346823422673
0.8,heft,72.1801486375989,71.83034186999066,76.1346823422673
0.8,replica,0.492,0.492,0.492
1.0,cpsat,71.83,71.83,71.83
1.0,easy,71.83034186999066,71.83034186999066,71.83034186999066
1.0,heft,71.83034186999066,71.83034186999066,71.83034186999066
1.0,replica,0.492,0.492,0.492
