rho,method,median_sec,q1_sec,q3_sec
0.333,cpsat,235.6935,218.735,355.82
0.333,easy,235.6931158204061,218.73509192520032,355.8193548817262
0.333,heft,235.6931158204061,218.73509192520032,355.8193548817262
0.333,replica,0.039,0.03825,0.069
0.4,cpsat,226.6735,214.59,265.54775
0.4,easy,226.67377584186943,214.5905314053316,265.54803329836705
0.4,heft,226.67377584186943,214.5905314053316,265.54803329836705
0.4,replica,0.039,0.036,0.069
0.6,cpsat,216.424,212.74349999999998,229.09300000000002
0.6,easy,216.42503995924017,212.74397634406978,229.0936742407439
0.6,heft,216.42503995924017,212.74397634406978,229.0936742407439
0.6,replica,0.0375,0.036,0.039
0.8,cpsat,209.966,209.9505,220.7555
0.8,easy,209.96607533849055,209.95063753899012,220.75640836938146
0.8,heft,209.96607533849055,209.95063753899012,220.75640836938146
0.8,replica,0.036,0.036,0.036
1.0,cpsat,209.946,209.946,209.946
1.0,easy,209.9465552329821,209.9465552329821,209.9465552329821
1.0,heft,209.9465552329821,209.9465552329821,209.9465552329821
1.0,replica,0.036,0.036,0.036
