attack_magnitude_c,method,median_sec,q1_sec,q3_sec
2.5,cpsat,75.091,72.512,88.365
2.5,easy,75.09006520973344,72.5126679560235,88.36449223425734
2.5,heft,75.09006520973344,72.5126679560235,88.36449223425734
2.5,replica,75.09006520973344,72.5126679560235,88.36449223425734
5.0,cpsat,75.091,72.512,88.365
5.0,easy,75.09006520973344,72.5126679560235,88.36449223425734
5.0,heft,75.09006520973344,72.5126679560235,88.36449223425734
5.0,replica,75.09006520973344,72.5126679560235,88.36449223425734
7.5,cpsat,75.091,72.512,88.365
7.5,easy,75.09006520973344,72.5126679560235,88.36449223425734
7.5,heft,75.09006520973344,72.5126679560235,88.36449223425734
7.5,replica,0.563,0.492,0.563
10.0,cpsat,75.091,72.512,88.365
10.0,easy,75.09006520973344,72.5126679560235,88.36449223425734
10.0,heft,75.09006520973344,72.5126679560235,88.36449223425734
10.0,replica,0.563,0.492,0.563
