service,primary_model,fallback_model,attack_type,attack_severity,rho,mask_id,scenario_name,trusted_service_restore_sec_cpsat,trusted_service_restore_sec_easy,trusted_service_restore_sec_heft,trusted_service_restore_sec_replica,preferred_restore_sec_cpsat,preferred_restore_sec_easy,preferred_restore_sec_heft,preferred_restore_sec_replica,preferred_recovery_action,recovery_strategy,replanned,planning_overhead_sec
detection,yolo11n,yolov5s,patch,0.0,0.333,1,rho_0.333_mask_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,2,rho_0.333_mask_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,3,rho_0.333_mask_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,4,rho_0.333_mask_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,5,rho_0.333_mask_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,6,rho_0.333_mask_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,7,rho_0.333_mask_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,8,rho_0.333_mask_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,9,rho_0.333_mask_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.333,10,rho_0.333_mask_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
