variant,ablation_failure_reason,count
no_replanning,background_repair_infeasible_but_replanning_disabled,315
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090,106
no_state_reconstruction,stale_state_selected_unavailable_assignments:package@RTX4090,49
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@RTX4090,48
no_state_reconstruction,stale_state_selected_unavailable_assignments:validate@A100,42
no_state_reconstruction,stale_state_selected_unavailable_assignments:deploy@RTX5090,40
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|validate@RTX4090,40
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100|deploy@RTX4090|validate@A100,28
no_state_reconstruction,stale_state_selected_unavailable_assignments:deploy@RTX5090|validate@RTX4090,24
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@RTX4090|deploy@RTX5090,24
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@RTX4090|package@RTX5090|validate@RTX4090,24
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@RTX4090|deploy@RTX5090|validate@RTX4090,24
no_state_reconstruction,stale_state_selected_unavailable_assignments:validate@RTX4090,24
no_state_reconstruction,stale_state_selected_unavailable_assignments:deploy@RTX4090,21
no_state_reconstruction,stale_state_selected_unavailable_assignments:package@RTX4090|deploy@RTX4090,21
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@RTX4090|package@RTX5090,16
no_state_reconstruction,stale_state_selected_unavailable_assignments:package@RTX5090,16
no_state_reconstruction,stale_state_selected_unavailable_assignments:deploy@RTX4090|validate@A100,14
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100,14
no_state_reconstruction,stale_state_selected_unavailable_assignments:package@RTX4090|validate@A100,14
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@A100|package@RTX4090|validate@A100,14
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@RTX4090|package@RTX5090|deploy@RTX5090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@RTX4090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:package@RTX5090|deploy@RTX5090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:package@RTX5090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|deploy@RTX5090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|deploy@RTX5090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@RTX4090|deploy@RTX5090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@RTX4090|package@RTX5090|deploy@RTX5090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@RTX4090|package@RTX5090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@RTX4090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|package@RTX5090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|package@RTX5090|deploy@RTX5090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|package@RTX5090|validate@RTX4090,8
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100|deploy@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100|package@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100|package@RTX4090|deploy@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100|package@RTX4090|deploy@RTX4090|validate@A100,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:evaluate@A100|package@RTX4090|validate@A100,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|deploy@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|deploy@RTX4090|validate@A100,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@A100,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@A100|deploy@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@A100|deploy@RTX4090|validate@A100,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@A100|package@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|evaluate@A100|validate@A100,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|package@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|package@RTX4090|deploy@RTX4090,7
no_state_reconstruction,stale_state_selected_unavailable_assignments:update@RTX4090|validate@A100,7
