scenario,policy,success,runtime_sec,runtime_min,reason,assignments,missing_runtime
nominal,Static,False,,,adversarial_training assigned to infeasible device a100,"{""adversarial_training"": ""a100"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
nominal,Rule-Based,True,4150.0,69.16666666666667,fallback rules found feasible devices,"{""adversarial_training"": ""rtx5090"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
nominal,Planner,True,4390.0,73.16666666666667,PlanGenerationResultStatus.SOLVED_SATISFICING,"{""adversarial_training"": ""gpu_2"", ""metric_computation"": ""gpu_2"", ""recovery_finetuning"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""perturbation_generation"": ""rtx5090"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
a100_failure,Static,False,,,adversarial_training assigned to infeasible device a100,"{""adversarial_training"": ""a100"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
a100_failure,Rule-Based,True,4150.0,69.16666666666667,fallback rules found feasible devices,"{""adversarial_training"": ""rtx5090"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
a100_failure,Planner,True,4390.0,73.16666666666667,PlanGenerationResultStatus.SOLVED_SATISFICING,"{""adversarial_training"": ""gpu_2"", ""metric_computation"": ""gpu_2"", ""recovery_finetuning"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""perturbation_generation"": ""rtx5090"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
jetson_degraded,Static,False,,,adversarial_training assigned to infeasible device a100,"{""adversarial_training"": ""a100"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
jetson_degraded,Rule-Based,True,4150.0,69.16666666666667,fallback rules found feasible devices,"{""adversarial_training"": ""rtx5090"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
jetson_degraded,Planner,True,4510.0,75.16666666666667,PlanGenerationResultStatus.SOLVED_SATISFICING,"{""adversarial_training"": ""gpu_2"", ""perturbation_generation"": ""gpu_2"", ""recovery_finetuning"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""model_evaluation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
combined_a100_down_5090_busy,Static,False,,,adversarial_training assigned to infeasible device a100,"{""adversarial_training"": ""a100"", ""perturbation_generation"": ""rtx5090"", ""metric_computation"": ""rtx5090"", ""rais_scoring"": ""rtx5090"", ""pruning_decision"": ""rtx5090"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx5090"", ""deploy_updated_model"": ""rtx4080s""}",[]
combined_a100_down_5090_busy,Rule-Based,True,4730.0,78.83333333333333,fallback rules found feasible devices,"{""adversarial_training"": ""rtx4080s"", ""perturbation_generation"": ""rtx4080s"", ""metric_computation"": ""rtx4080s"", ""rais_scoring"": ""rtx4080s"", ""pruning_decision"": ""rtx4080s"", ""recovery_finetuning"": ""gpu_2"", ""model_evaluation"": ""rtx4080s"", ""deploy_updated_model"": ""rtx4080s""}",[]
combined_a100_down_5090_busy,Planner,True,4730.0,78.83333333333333,PlanGenerationResultStatus.SOLVED_SATISFICING,"{""adversarial_training"": ""gpu_2"", ""perturbation_generation"": ""rtx4080s"", ""recovery_finetuning"": ""rtx4080s"", ""rais_scoring"": ""rtx4080s"", ""pruning_decision"": ""rtx4080s"", ""model_evaluation"": ""rtx4080s"", ""metric_computation"": ""rtx4080s"", ""deploy_updated_model"": ""rtx4080s""}",[]
